idx,src,dst,time,dst_idx,ext_roll
460,9,106,11,43,0
461,10,107,11,46,0
462,11,108,11,48,0
463,48,148,11,59,0
464,40,138,11,65,0
465,14,111,11,71,0
466,15,112,11,70,0
467,16,113,11,83,0
468,17,114,11,89,0
469,55,155,11,90,0
470,18,115,11,88,0
471,19,116,11,99,0
472,20,117,11,119,0
473,21,118,11,125,0
474,22,119,11,131,0
475,23,120,11,124,0
476,24,121,11,140,0
477,25,122,11,138,0
478,50,150,11,141,0
479,26,123,11,136,0
480,28,125,11,170,0
481,29,126,11,171,0
482,30,127,11,182,0
483,31,128,11,178,0
484,32,129,11,191,0
485,33,130,11,194,0
486,52,152,11,192,0
487,34,131,11,198,0
488,35,133,11,209,0
489,37,145,11,32,0
490,0,97,12,5,0
491,38,136,12,8,0
492,4,101,12,30,0
493,54,154,12,29,0
494,5,102,12,25,0
495,7,104,12,36,0
496,57,157,12,34,0
497,8,105,12,39,0
498,9,106,12,43,0
499,10,107,12,46,0
500,48,148,12,59,0
501,62,160,12,57,0
502,40,138,12,65,0
503,12,109,12,68,0
504,14,111,12,71,0
505,15,112,12,70,0
506,16,113,12,83,0
507,18,115,12,88,0
508,19,116,12,99,0
509,20,117,12,119,0
510,22,119,12,131,0
511,23,120,12,124,0
512,43,141,12,129,0
513,24,121,12,140,0
514,25,122,12,138,0
515,50,150,12,141,0
516,26,123,12,136,0
517,28,125,12,170,0
518,29,126,12,171,0
519,30,127,12,182,0
520,32,129,12,191,0
521,33,130,12,194,0
522,56,156,12,193,0
523,34,131,12,198,0
524,35,133,12,209,0
525,37,135,12,27,0
526,0,97,13,5,0
527,69,146,13,21,0
528,3,100,13,24,0
529,4,101,13,30,0
530,5,102,13,25,0
531,6,103,13,38,0
532,7,104,13,36,0
533,8,105,13,39,0
534,9,106,13,43,0
535,10,107,13,46,0
536,11,108,13,48,0
537,48,148,13,59,0
538,62,160,13,57,0
539,40,138,13,65,0
540,12,109,13,68,0
541,13,110,13,69,0
542,14,111,13,71,0
543,15,112,13,70,0
544,16,113,13,83,0
545,17,114,13,89,0
546,55,155,13,90,0
547,18,115,13,88,0
548,19,116,13,99,0
549,20,117,13,119,0
550,21,118,13,125,0
551,22,119,13,131,0
552,23,120,13,124,0
553,43,141,13,129,0
554,24,121,13,140,0
555,25,122,13,138,0
556,50,150,13,141,0
557,26,123,13,136,0
558,44,142,13,159,0
559,28,125,13,170,0
560,29,126,13,171,0
561,30,127,13,182,0
562,32,129,13,191,0
563,33,130,13,194,0
564,52,152,13,192,0
565,34,131,13,198,0
566,35,133,13,209,0
567,46,144,13,206,0
568,37,135,13,27,0
569,37,145,13,32,0
570,0,97,14,5,0
571,2,165,14,13,0
572,69,146,14,21,0
573,4,101,14,30,0
574,54,154,14,29,0
575,5,102,14,25,0
576,6,103,14,38,0
577,7,104,14,36,0
578,9,106,14,43,0
579,10,107,14,46,0
580,11,108,14,48,0
581,48,148,14,59,0
582,40,138,14,65,0
583,12,109,14,68,0
584,13,110,14,69,0
585,14,111,14,71,0
586,15,112,14,70,0
587,16,113,14,83,0
588,17,114,14,89,0
589,55,155,14,90,0
590,64,161,14,96,0
591,18,115,14,88,0
592,19,116,14,99,0
593,49,149,14,102,0
594,42,140,14,106,0
595,20,117,14,119,0
596,22,119,14,131,0
597,23,120,14,124,0
598,43,141,14,129,0
599,24,121,14,140,0
600,25,122,14,138,0
601,27,124,14,158,0
602,51,151,14,154,0
603,28,125,14,170,0
604,29,126,14,171,0
605,30,127,14,182,0
606,32,129,14,191,0
607,33,130,14,194,0
608,52,152,14,192,0
609,34,131,14,198,0
610,35,133,14,209,0
611,70,134,14,212,0
612,37,135,14,27,0
613,0,97,15,5,0
614,65,153,15,6,0
615,2,99,15,15,0
616,69,146,15,21,0
617,4,101,15,30,0
618,5,102,15,25,0
619,6,103,15,38,0
620,7,104,15,36,0
621,8,105,15,39,0
622,9,106,15,43,0
623,10,107,15,46,0
624,11,108,15,48,0
625,48,148,15,59,0
626,62,160,15,57,0
627,40,138,15,65,0
628,12,109,15,68,0
629,13,110,15,69,0
630,14,111,15,71,0
631,16,113,15,83,0
632,17,114,15,89,0
633,55,155,15,90,0
634,64,161,15,96,0
635,18,115,15,88,0
636,19,116,15,99,0
637,49,149,15,102,0
638,42,140,15,106,0
639,20,117,15,119,0
640,21,118,15,125,0
641,22,119,15,131,0
642,23,120,15,124,0
643,43,141,15,129,0
644,24,121,15,140,0
645,25,122,15,138,0
646,50,150,15,141,0
647,71,142,15,159,0
648,28,125,15,170,0
649,29,126,15,171,0
650,30,127,15,182,0
651,45,143,15,180,0
652,32,129,15,191,0
653,33,130,15,194,0
654,52,152,15,192,0
655,34,131,15,198,0
656,35,133,15,209,0
657,36,134,15,212,0
658,37,135,15,27,0
659,37,145,15,32,0
660,0,97,16,5,0
661,38,136,16,8,0
662,2,99,16,15,0
663,69,146,16,21,0
664,66,162,16,23,0
665,4,101,16,30,0
666,6,103,16,38,0
667,7,104,16,36,0
668,57,157,16,34,0
669,8,105,16,39,0
670,9,106,16,43,0
671,10,107,16,46,0
672,48,148,16,59,0
673,40,138,16,65,0
674,12,109,16,68,0
675,14,111,16,71,0
676,15,112,16,70,0
677,16,113,16,83,0
678,17,114,16,89,0
679,18,115,16,88,0
680,19,116,16,99,0
681,49,149,16,102,0
682,42,140,16,106,0
683,20,117,16,119,0
684,21,118,16,125,0
685,22,119,16,131,0
686,23,120,16,124,0
687,43,141,16,129,0
688,24,121,16,140,0
689,25,122,16,138,0
690,50,150,16,141,0
691,26,123,16,136,0
692,44,142,16,159,0
693,28,125,16,170,0
694,29,126,16,171,0
695,30,127,16,182,0
696,32,129,16,191,0
697,56,156,16,193,0
698,34,131,16,198,0
699,35,133,16,209,0
700,37,135,16,27,0
701,37,145,16,32,0
702,0,97,17,5,0
703,4,101,17,30,0
704,54,154,17,29,0
705,5,102,17,25,0
706,6,103,17,38,0
707,72,104,17,36,0
708,7,104,17,36,0
709,9,106,17,43,0
710,10,107,17,46,0
711,11,108,17,48,0
712,48,148,17,59,0
713,40,138,17,65,0
714,14,111,17,71,0
715,15,112,17,70,0
716,16,113,17,83,0
717,17,114,17,89,0
718,18,115,17,88,0
719,41,139,17,101,0
720,19,116,17,99,0
721,20,117,17,119,0
722,21,118,17,125,0
723,22,119,17,131,0
